GeoType,GEOID,subregion,,GeoName,TotalPop,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,affectweather,affectweatherOppose,worried,worriedOppose,harmplants,harmplantsOppose,futuregen,futuregenOppose,devharm,devharmOppose,harmUS,harmUSOppose,personal,personalOppose,timing,timingOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,regulate,regulateOppose,CO2limits,CO2limitsOppose,reducetax,reducetaxOppose,supportRPS,supportRPSOppose,rebates,rebatesOppose,drillANWR,drillANWROppose,drilloffshore,drilloffshoreOppose,teachGW,teachGWOppose,corporations,corporationsOppose,president,presidentOppose,congress,congressOppose,governor,governorOppose,localofficials,localofficialsOppose,citizens,citizensOppose,discuss,discussOppose,mediaweekly,mediaweeklyOppose,priority,priorityOppose
County,48017,bailey,Bailey,"Bailey County, Texas",5039,69.442,16.729,55.044,30.673,48.794,23.502,57.303,7.851,63.713,36.25,69.118,20.841,67.896,22.649,66.598,21.961,65.779,25.749,49.843,42.535,58.668,41.332,44.334,55.257,70.487,28.843,64.544,33.58,58.901,41.396,58.993,39.512,58.205,40.936,69.76,29.397,30.706,68.533,57.135,41.743,74.586,25.867,66.146,14.276,49.066,32.32,56.712,26.543,53.38,19.288,56.242,18.139,63.994,14.408,32.222,67.661,31.835,68.004,54.79,27.882
County,48019,bandera,Bandera,"Bandera County, Texas",18407,63.987,23.117,48.093,35.734,46.857,29.68,53.299,9.897,55.025,45.058,62.073,28.697,61.556,29.551,58.704,29.785,56.932,34.842,40.18,51.859,51.764,48.236,38.321,61.534,70.622,29.322,63.046,35.943,53.619,46.897,53.821,45.665,56.577,43.354,70.457,29.195,34.652,64.764,61.311,38.457,68.523,31.985,61.468,16.086,41.725,39.451,49.599,33.47,47.296,23.758,49.882,21.616,58.133,17.068,29.597,70.374,33.098,66.585,44.688,36.731
County,48021,bastrop,Bastrop,"Bastrop County, Texas",62960,69.93,14.864,56.86,29.995,55.46,23.303,59.841,7.985,65.512,34.55,69.177,19.856,69.58,19.276,66.523,20.957,63.148,26.496,47.359,42.566,59.261,40.739,44.698,55.107,72.789,25.787,69.603,28.486,63.483,36.032,63.837,34.63,61.515,37.212,74.799,23.931,29.603,69.519,51.799,47.381,75.963,24.181,68.141,12.778,50.156,30.077,59.32,24.198,57.334,18,57.696,17.961,63.621,13.83,32.085,67.918,30.658,68.522,57.67,24.04
County,48023,baylor,Baylor,"Baylor County, Texas",2831,57.192,27.61,41.377,41.853,38.557,34.797,46.74,11.476,48.134,51.992,56.678,33.857,56.583,34.204,53.209,34.416,51.327,39.511,35.336,55.415,46.008,53.992,33.63,66.225,66.671,33.654,59.099,40.126,46.335,53.964,48.714,50.709,52.036,48.052,67.413,32.383,39.514,59.95,67.309,32.376,63.295,37.348,57.576,17.91,36.542,44.593,44.343,38.124,42.578,27.621,45.661,24.299,53.396,19.829,25.072,74.934,28.961,70.621,38.489,42.617
County,48025,bee,Bee,"Bee County, Texas",25710,67.65,17.081,51.48,35.434,44.879,26.606,56.732,8.429,62.32,37.659,65.68,22.474,65.25,22.663,63.6,22.865,61.626,27.415,47.075,42.446,56.285,43.715,41.667,57.959,71.107,28.122,65.564,32.347,59.643,39.847,60.803,38.094,60.13,38.988,71.339,27.575,35.152,64.296,58.491,40.279,74.045,26.055,63.928,15.609,46.739,33.744,55.012,27.406,53.596,20.71,56.784,19.381,60.578,16.357,27.767,72.164,26.286,72.842,52.481,27.194
County,48027,bell,Bell,"Bell County, Texas",251822,74.716,13.323,55.69,31.267,54.736,23.897,62.696,7.496,66.351,33.057,70.007,17.946,69.213,18.562,67.44,19.806,65.618,24.356,49.096,40.767,60.862,39.138,45.998,53.923,76.733,22.438,69.855,27.668,65.001,34.636,64.855,33.145,64.106,33.982,75.345,23.304,29.435,69.994,51.823,45.954,77.638,22.647,70.051,12.327,51.031,28.12,62.426,22.564,59.17,17.342,60.206,16.819,65.995,13.478,32.682,67.288,29.645,69.391,58.781,22.424
County,48029,bexar,Bexar,"Bexar County, Texas",1450476,81.408,10.666,58.939,29.352,62.878,19.989,68.37,6.373,72.968,26.907,76.097,17.411,76.214,15.917,74.03,16.443,70.272,21.791,54.551,38.529,66.197,33.803,50.496,49.272,77.833,20.533,72.881,24.907,69.558,29.927,69.643,28.65,65.388,33.798,77.611,20.289,28.265,70.771,50.512,48.932,83.384,16.738,73.139,10.369,58.019,24.966,66.203,19.39,64.121,14.224,64.512,15.399,69.875,10.885,36.897,62.954,31.351,67.579,62.828,16.871
County,48031,blanco,Blanco,"Blanco County, Texas",9380,65.792,21.095,49.782,34.772,49.415,28.707,54.803,9.651,57.141,42.96,64.415,26.931,64.367,27.157,60.926,28.389,58.089,34.109,40.843,51.615,52.666,47.334,39.493,60.349,71.119,28.429,64.67,34.129,55.828,44.482,55.789,43.42,57.696,41.967,71.557,27.853,33.061,66.29,58.857,40.837,70.354,30.044,63.593,15.075,43.582,37.963,52.171,31.73,49.661,22.476,51.308,20.978,59.524,16.212,30.525,69.48,33.827,65.741,47.428,34.235
County,48033,borden,Borden,"Borden County, Texas",434,61.013,25.982,45.061,36.771,47.749,30.222,49.659,10.682,51.58,48.588,61.933,31.397,61.382,33.342,58.471,33.165,56.257,38.646,37.957,56.912,49.077,50.923,38.566,61.469,67.574,32.99,59.345,40.51,47.492,53.576,46.201,53.927,51.746,48.456,67.335,33.027,33.943,65.688,62.647,37.461,64.695,36.48,61.618,15.729,39.5,42.578,47.297,37.583,43.288,25.64,45.478,22.879,58.095,17.116,32.438,67.584,39.787,60.847,41.093,42.553
County,48035,bosque,Bosque,"Bosque County, Texas",14396,60.358,24.359,43.816,39.521,40.984,32.334,49.33,10.541,52.544,47.525,60.013,30.564,60.114,30.719,56.875,31.012,54.927,36.108,38.815,52.461,48.887,51.113,35.87,63.953,68.914,31.176,61.634,37.333,50.778,49.435,51.818,47.599,54.518,45.461,69.158,30.513,37.803,61.508,65.533,34.039,66.647,33.936,60.663,16.732,39.878,41.087,48.549,34.533,44.898,25.757,48.447,22.701,55.99,18.236,26.562,73.446,29.908,69.651,42.063,38.285
County,48037,bowie,Bowie,"Bowie County, Texas",71224,61.223,21.887,43.801,40.605,40.001,30.587,52.55,9.764,52.402,47.795,58.383,29.518,58.197,29.147,56.027,28.346,54.507,33.439,38.804,49.199,50.401,49.599,37.165,62.626,69.832,30.013,63.116,35.58,50.894,48.963,55.863,43.104,57.416,42.396,70.273,29.087,37.948,61.433,65.306,34.09,68.044,32.207,58.868,15.963,39.842,39.202,47.216,33.076,48.124,23.604,51.821,20.797,55.718,17.683,24.855,75.19,25.317,73.745,42.914,36.225
County,48039,brazoria,Brazoria,"Brazoria County, Texas",265058,67.794,16.462,53.466,33.078,47.798,27.445,56.953,8.434,62.278,37.857,65.38,24.025,65.671,20.957,63.216,23.067,60.249,28.36,44.451,44.338,55.501,44.499,42.865,57.093,73.222,26.095,66.491,32.019,58.94,40.564,62.209,36.351,59.142,40.732,75.004,24.094,33.929,65.353,56.722,42.788,73.215,27.016,65.812,13.911,44.957,33.074,52.695,26.608,53.547,19.924,56.102,18.809,60.991,15.28,29.138,70.971,27.818,71.228,52.224,25.775
County,48041,brazos,Brazos,"Brazos County, Texas",177134,70.453,16.114,53.933,31.326,56.33,25.02,60.436,8.254,65.045,35.022,67.747,20.327,69.225,20.03,65.506,22.341,61.598,30.18,44.332,47.67,57.421,42.579,44.018,55.569,75.244,23.458,67.398,30.933,64.037,35.866,60.598,37.669,63.065,35.836,74.378,24.417,30.184,68.608,54.093,44.786,73.851,25.524,66.035,13.82,47.642,32.353,54.776,28.19,53.823,19.52,56.386,18.77,62.205,14.704,31.972,68.19,33.263,65.984,53.887,27.759
County,48043,brewster,Brewster,"Brewster County, Texas",7462,75.466,13.104,59.984,27.747,59.941,21.576,65.938,6.985,69.071,31.013,73.963,18.343,73.227,19.206,70.559,19.977,68.189,25.01,51.147,43.18,62.66,37.34,49.871,50.002,77.504,21.956,70.689,27.798,67.83,32.309,65.673,33.502,64.766,34.441,76.21,23.189,27.348,72.319,50.989,48.626,78.565,21.881,71.295,11.976,52.454,27.952,62.379,23.47,57.769,16.809,59.864,16.338,68.744,11.897,38.637,61.351,38.199,61.402,58.603,24.812
County,48045,briscoe,Briscoe,"Briscoe County, Texas",1221,64.08,22.505,46.854,35.43,45.457,29.23,50.728,9.912,55.711,44.306,63.797,27.209,63.199,28.702,60.832,28.474,59.164,33.247,42.812,49.905,52.056,47.944,38.73,60.82,67.535,32.404,60.892,37.928,51.378,49.158,52.237,47.421,53.897,45.643,67.563,31.995,34.715,64.544,61.575,37.778,67.833,32.841,61.668,16.03,42.073,39.207,49.959,32.843,47.151,23.611,49.793,21.389,57.923,17.089,30.024,69.841,32.959,67.109,46.815,35.638
County,48047,brooks,Brooks,"Brooks County, Texas",5251,74.95,11.907,60.56,29.447,49.913,22.837,64.675,6.523,71.991,28.012,72.189,16.864,71.676,16.701,70.941,16.341,68.861,20.279,55.231,34.859,62.804,37.196,48.506,51.231,76.259,22.638,71.778,25.657,68.722,30.099,70.313,28.081,66.983,31.958,76.499,22.139,32.649,66.986,54.354,44.004,80.52,19.526,69.887,12.842,54.387,25.495,62.656,19.936,60.823,16.422,64.804,16.042,66.917,13.162,31.594,68.388,24.495,74.201,60.629,20.935
County,48049,brown,Brown,"Brown County, Texas",29470,60.29,25.345,43.119,41.083,39.182,33.644,48.744,10.933,50.283,49.795,58.221,32.37,57.954,32.819,54.913,32.869,53.269,37.615,37.627,53.205,48.176,51.824,34.47,65.312,67.079,33.026,60.086,38.799,48.745,51.465,51.324,48.006,53.384,46.566,67.842,31.69,38.691,60.671,65.218,34.299,65.873,34.658,58.332,17.552,38.018,42.411,45.993,35.525,44.706,26.176,47.972,23.151,54.598,19.212,25.226,74.759,28.148,71.338,40.666,40.359
County,48051,burleson,Burleson,"Burleson County, Texas",14043,63.16,21.266,47.263,37.209,44.012,28.919,51.778,9.645,55.371,44.676,61.768,27.145,61.638,27.336,58.836,27.692,57.037,32.514,41.411,48.22,52.461,47.539,38.181,61.521,68.478,31.031,62.909,35.63,53.163,46.879,55.589,43.393,55.563,43.957,68.784,29.934,34.984,64.178,61.89,37.428,69.747,30.59,61.211,16.078,42.683,37.726,50.704,31.688,48.942,22.792,51.346,20.947,57.535,17.237,27.49,72.458,28.429,70.989,47.523,32.915
County,48053,burnet,Burnet,"Burnet County, Texas",36575,64.482,21.979,48.703,35.737,46.645,29.385,53.653,9.422,56.163,43.934,63.493,27.538,61.952,29.801,59.769,29.216,58.237,33.948,41.115,51.459,52.422,47.578,39.634,60.181,71.545,28.482,64.419,34.478,55.936,44.511,55.75,43.746,59.013,40.737,70.881,28.831,33.723,65.927,62.064,37.568,70.689,29.886,62.819,15.715,42.769,37.749,50.366,32.246,47.824,22.66,51.002,20.606,60.39,16.071,29.629,70.394,33.492,66.226,45.579,36.847
County,48055,caldwell,Caldwell,"Caldwell County, Texas",31993,74.032,13.948,54.008,32.678,48.861,24.133,62.097,7.492,65.116,34.934,70.2,19.634,68.981,20.783,67.39,20.532,64.563,25.966,48.878,42.269,61.2,38.8,44.951,54.761,75.279,23.883,69.351,28.494,64.963,34.494,64.973,33.783,62.689,36.837,74.62,24.349,31.908,67.609,56.337,42.729,77.652,22.502,69.338,13.177,51.732,28.559,61.314,22.719,56.099,18.193,59.134,17.377,65.2,13.751,31.284,68.616,28.121,70.886,56.546,23.423
County,48057,calhoun,Calhoun,"Calhoun County, Texas",16313,59.628,19.931,50.488,32.504,48.062,23.324,48.506,8.671,61.196,39.134,64.938,23.933,66.168,22.713,63.325,23.592,59.216,29.443,43.818,44.396,52.206,47.795,44.063,56.183,64.343,33.889,63.527,34.915,46.08,52.662,51.761,46.52,50.945,46.427,70.115,28.62,32.924,66.22,57.663,40.713,67.149,33.907,63.863,12.966,46.005,33.96,52.17,29.361,50.423,20.798,50.751,20.475,57.213,15.73,30.29,69.742,27.327,72.525,51.666,29.421
County,48059,callahan,Callahan,"Callahan County, Texas",10755,56.781,27.941,42.684,41.033,39.112,34.754,47.179,11.52,48.965,51.13,57.235,32.751,57.629,32.554,53.888,33.404,51.724,38.812,35.324,55.346,46.597,53.403,33.354,66.481,66.029,34.18,59.719,39.439,47.692,52.577,48.586,50.893,51.615,48.518,67.334,32.354,38.74,60.602,65.335,34.433,63.403,37.154,57.2,18.48,36.002,44.676,43.255,38.103,43.047,27.51,45.769,24.374,52.482,20.217,24.975,75.042,29.279,70.315,39.267,41.075
County,48061,cameron,Cameron,"Cameron County, Texas",291931,75.459,12.278,62.749,27.206,49.405,22.799,64.226,6.57,71.256,28.793,72.724,15.909,71.682,17.252,71.003,16.335,69.291,20.53,54.117,35.572,66.016,33.984,48.22,51.518,76.83,22.193,70.124,27.493,67.31,31.944,71.288,27.176,65.902,33.384,76.726,22.014,30.989,68.842,53.506,45.335,81.111,18.91,68.714,13.115,56.195,26.621,64.263,21.654,61.816,16.188,65.174,15.93,67.505,13.125,31.386,68.654,25.541,73.039,64.912,20.253
County,48063,camp,Camp,"Camp County, Texas",9483,66.356,18.668,49.014,36.066,46.09,27.661,55.445,8.803,57.801,42.28,64.365,24.556,63.777,25.065,61.161,25.475,59.44,30.314,43.642,46.353,54.703,45.297,40.44,59.3,71.358,28.226,65.136,33.324,56.659,43.359,58.665,40.355,58.53,41.123,71.508,27.773,34.184,65.127,60.536,38.794,72.454,27.87,63.817,14.958,44.974,34.53,53.401,28.838,51.498,21.058,54.307,19.325,60.263,15.912,28.289,71.713,28.707,70.588,49.144,30.956
County,48065,carson,Carson,"Carson County, Texas",4533,58.789,26.954,43.254,39.567,42.231,33,48.213,10.993,49.782,50.379,59.211,32.789,59.031,33.582,55.71,33.756,53.591,39.092,36.618,55.975,47.206,52.794,35.835,64.131,67.421,32.976,59.941,39.525,46.914,53.626,48.253,51.425,52.144,47.929,68.081,31.919,37.189,62.39,65.458,34.339,63.904,36.966,59.787,16.737,38.135,43.24,45.868,37.545,43.179,26.497,45.954,23.383,55.612,18.495,27.965,72.051,32.992,66.96,39.585,42.283
County,48067,cass,Cass,"Cass County, Texas",23274,57.731,25.669,40.474,43.228,37.54,33.881,47.679,10.7,48.533,51.633,55.597,32.39,55.326,32.254,52.625,32.116,51.347,36.741,36.395,52.109,47.232,52.768,34.422,65.342,67.893,32.183,60.967,37.803,48.852,51.003,52.869,46.08,54.698,45.276,68.701,30.779,40.069,59.24,67.584,31.849,66.137,34.195,57.53,17.688,38.048,40.948,45.78,34.797,45.119,25.549,48.856,22.567,53.359,19.189,23.17,76.841,24.81,74.351,40.775,37.945
County,48069,castro,Castro,"Castro County, Texas",5444,65.443,18.823,51.531,33.646,42.869,27.927,53.764,9.054,59.682,40.313,64.751,23.136,64.57,23.461,62.443,23.782,60.036,28.861,45,44.124,55.051,44.949,39.448,60.186,68.043,30.948,63.447,34.423,55.53,44.069,56.992,41.867,55.804,43.056,69.129,29.605,35.221,63.853,59.192,39.578,70.502,29.732,61.601,16.032,44.338,36.454,53.292,29.359,51.721,21.791,54.333,20.452,59.061,17.174,27.401,72.546,25.988,73.287,51.26,30.049
County,48071,chambers,Chambers,"Chambers County, Texas",29719,54.875,26.295,41.016,42.299,37.311,34.349,47.658,10.909,50.258,49.965,56.868,32.395,57.511,31.508,54.633,31.779,51.812,37.376,36.264,52.832,46.909,53.092,35.583,64.504,66.643,33.41,60.236,38.808,44.786,54.689,48.596,50.435,51.677,47.937,69.079,30.526,40.762,59.081,66.693,32.678,62.865,37.945,59.234,17.01,38.499,41.722,45.311,36.023,44.021,27.022,47.48,23.773,53.124,20.068,25.309,74.73,26.216,73.226,39.204,40.574
County,48073,cherokee,Cherokee,"Cherokee County, Texas",38795,66.324,19.582,46.426,37.053,44.445,27.973,52.962,9.328,56.202,43.887,63.759,25.522,63.293,26.268,60.195,26.329,58.928,30.994,42.165,47.602,54.024,45.976,39.471,60.225,68.914,30.668,63.992,34.557,52.176,48.165,54.5,44.846,54.239,45.796,68.412,30.924,33.846,65.46,60.852,38.538,70.867,29.545,61.733,15.476,44.109,35.908,52.033,29.745,49.955,21.859,52.274,20.264,58.407,16.532,27.32,72.7,29.072,70.398,46.204,33.095
County,48075,childress,Childress,"Childress County, Texas",5966,60.896,23.608,45.237,38.933,40.812,31.063,49.706,10.379,52.518,47.538,60.054,29.438,59.681,30.235,57.319,29.977,55.634,34.6,40.37,50.032,49.306,50.694,36.482,63.221,67.108,32.838,60.538,38.118,50.192,49.956,52.49,46.914,53.95,45.528,67.516,31.953,38.212,61.11,64.551,34.669,66.936,33.52,59.308,17.41,39.965,40.699,47.863,34.214,46.519,24.966,49.511,22.323,55.708,18.831,25.851,74.09,28.117,71.462,43.834,36.58
County,48077,clay,Clay,"Clay County, Texas",8275,57.149,27.815,41.718,40.891,39.438,34.942,46.924,11.594,48.541,51.544,57.515,33.72,57.591,34.009,53.179,34.585,51.717,39.876,35.024,56.653,46.359,53.641,33.562,66.329,66.71,33.708,59.089,40.25,47.264,53.062,48.266,51.297,52.156,48.025,67.435,32.446,38.993,60.727,66.93,32.867,63.591,37.078,58.556,17.786,37.142,44.68,45.393,38.018,42.737,27.827,45.55,24.399,53.982,19.78,25.567,74.426,30.096,69.538,39.099,42.438
County,48079,cochran,Cochran,"Cochran County, Texas",2122,64.126,19.73,49.273,34.014,42.313,26.303,51.782,8.738,59.016,41.002,63.534,24.111,62.966,25.763,61.331,24.572,60.872,28.177,46.166,43.096,54.802,45.198,40.41,59.174,67.231,32.242,61.958,36.158,53.924,46.055,56.034,43.208,55.897,43.018,67.038,32.101,34.821,64.316,60.831,37.995,71.278,29.182,62.024,16.12,45.027,35.741,52.188,29.624,50.45,21.705,53.662,20.018,59.495,16.745,27.999,71.921,27.088,72.397,49.547,30.771
County,48081,coke,Coke,"Coke County, Texas",2612,60.891,24.239,47.108,35.962,46.075,29.733,49.273,10.903,53.503,46.558,61.248,28.676,61.618,28.722,57.188,30.881,54.493,36.366,38.202,52.31,49.303,50.697,35.749,64.008,65.449,33.517,61.246,37.464,49.185,51.22,50.719,48.347,52.131,46.786,68.147,30.85,33.785,65.026,59.18,40.348,66.203,34.132,59.374,16.539,40.235,42.442,48.364,34.921,47.761,24.261,47.87,22.984,54.956,18.387,27.495,72.503,31.108,68.555,45.455,35.753
County,48083,coleman,Coleman,"Coleman County, Texas",6550,57.146,27.911,41.508,42.193,37.368,35.546,46.493,11.624,48.17,51.93,56.359,34.041,56.369,34.173,53.019,34.489,51.243,39.398,35.712,54.81,45.593,54.407,33.014,66.794,66.416,33.815,58.826,40.234,46.27,53.922,49.023,50.338,52.176,47.803,67.225,32.463,40.495,58.929,67.613,31.938,63.181,37.331,57.02,18.542,36.316,45.025,44.176,38.128,42.901,28.067,46.077,24.673,52.726,20.555,24.173,75.825,27.654,71.809,38.639,42.063
County,48085,collin,Collin,"Collin County, Texas",717857,74.7,16.2,58.813,27.796,59.268,24.599,67.312,7.893,64.992,35.207,72.338,19.699,72.747,18.834,67.839,23.117,63.899,28.65,48.424,44.422,58.281,41.719,47.894,52.381,77.225,22.169,70.949,28.017,63.128,37.1,63.409,35.729,62.729,36.964,76.68,22.581,28.681,71.131,48.964,51.127,75.94,24.317,69.574,13.822,50.212,32.423,59.222,27.087,56.721,18.78,59.07,18.053,64.6,14.256,33.997,66.165,33.408,65.724,55.881,26.314
County,48087,collingsworth,Collingsworth,"Collingsworth County, Texas",2223,59.902,23.446,44.555,39.009,39.776,30.936,48.709,10.247,52.521,47.516,59.645,28.941,59.207,29.685,56.705,29.529,55.397,33.948,40.098,49.181,49.852,50.148,36.508,63.197,66.746,33.074,60.039,38.546,49.258,50.73,51.81,47.403,53.705,45.836,67.231,32.128,37.682,61.629,64.411,34.862,66.893,33.589,59.077,17.09,39.747,40.459,47.363,33.964,46.133,24.861,49.445,22.119,55.602,18.571,25.776,74.191,26.857,72.568,43.748,36.419
County,48089,colorado,Colorado,"Colorado County, Texas",16232,64.961,19.476,49.454,35.225,47.459,27.253,53.399,9.404,57.991,42.075,63.86,24.864,63.897,24.791,60.767,25.939,58.132,31.231,42.476,46.888,52.855,47.145,39.408,60.351,68.902,30.146,63.742,34.711,53.848,46.019,56.086,42.731,55.893,43.281,70.537,28.456,33.694,65.413,58.159,41.13,70.754,29.527,62.485,15.136,44.161,36.341,52.577,29.929,51.495,21.602,52.807,20.423,58.254,16.607,27.905,72.113,28.551,70.814,48.854,31.771
County,48091,comal,Comal,"Comal County, Texas",109450,64.95,22.159,51.574,34.128,49.146,28.756,55.959,9.49,57.468,42.7,63.949,28.455,64.463,27.637,61.094,29.145,58.105,34.716,41.629,51.05,52.315,47.685,40.838,59.147,71.571,28.302,64.686,34.231,56.107,44.259,56.987,42.231,58.189,42.059,72.287,27.24,32.625,67.308,58.495,41.445,71.028,29.347,62.184,15.003,42.026,38.13,51.836,31.257,48.948,21.745,52.154,20.244,59.244,16.096,30.781,69.271,33.191,66.284,46.435,37.332
County,48093,comanche,Comanche,"Comanche County, Texas",10516,61.071,24.598,45.24,38.932,41.486,32.281,49.466,10.674,52.321,47.724,60.06,30.324,59.785,30.978,56.766,31.043,55.044,35.881,38.669,52.535,49.222,50.778,35.57,64.206,67.955,32.124,60.761,38.111,49.747,50.535,51.585,47.819,54.253,45.575,68.208,31.409,37.547,62.056,65.09,34.43,66.316,34.221,59.796,17.213,39.569,41.782,47.797,35.064,45.597,25.698,48.563,22.909,56.064,18.669,26.367,73.619,29.459,70.087,42.968,38.364
